"App Name","Location","Source"
"Microsoft .NET Core Host - 3.1.11 (x64)","","Registry"
"Microsoft .NET Core Host FX Resolver - 3.1.11 (x64)","","Registry"
"Microsoft .NET Core Runtime - 2.1.26 (x64)","","Registry"
"Microsoft .NET Core Runtime - 3.1.11 (x64)","","Registry"
"Microsoft .NET Core Runtime - 3.1.13 (x64)","","Registry"
"Microsoft .NET Core Runtime - 3.1.13 (x86)","","Registry"
"Microsoft .NET Core Targeting Pack - 3.1.0 (x64)","","Registry"
"Microsoft .NET Framework 4 Multi-Targeting Pack","","Registry"
"Microsoft .NET Framework 4.5 Multi-Targeting Pack","","Registry"
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack","","Registry"
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack","","Registry"
"Microsoft .NET Framework 4.6 Targeting Pack","","Registry"
"Microsoft .NET Framework 4.6.1 Targeting Pack","","Registry"
"Microsoft .NET Framework 4.7.2 Targeting Pack","","Registry"
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","","Registry"
"Microsoft .NET Framework 4.8 SDK","","Registry"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","","Registry"
"Microsoft .NET Host - 5.0.4 (x64)","","Registry"
"Microsoft .NET Host - 6.0.16 (x64)","","Registry"
"Microsoft .NET Host - 7.0.16 (x64)","","Registry"
"Microsoft .NET Host - 8.0.14 (x64)","","Registry"
"Microsoft .NET Host - 8.0.14 (x86)","","Registry"
"Microsoft .NET Host FX Resolver - 5.0.4 (x64)","","Registry"
"Microsoft .NET Host FX Resolver - 5.0.4 (x86)","","Registry"
"Microsoft .NET Host FX Resolver - 6.0.16 (x64)","","Registry"
"Microsoft .NET Host FX Resolver - 7.0.16 (x64)","","Registry"
"Microsoft .NET Host FX Resolver - 8.0.14 (x64)","","Registry"
"Microsoft .NET Host FX Resolver - 8.0.14 (x86)","","Registry"
"Microsoft .NET Host FX Resolver - 8.0.8 (x64)","","Registry"
"Microsoft .NET Runtime - 5.0.4 (x64)","","Registry"
"Microsoft .NET Runtime - 5.0.4 (x86)","","Registry"
"Microsoft .NET Runtime - 6.0.16 (x64)","","Registry"
"Microsoft .NET Runtime - 7.0.16 (x64)","","Registry"
"Microsoft .NET Runtime - 8.0.14 (x64)","","Registry"
"Microsoft .NET Runtime - 8.0.14 (x86)","","Registry"
"Microsoft .NET Runtime - 8.0.8 (x64)","","Registry"
"Microsoft .NET SDK 5.0.201 (x64) from Visual Studio","","Registry"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","","Registry"
"Microsoft .NET Targeting Pack - 5.0.0 (x64)","","Registry"
"Microsoft .NET Toolset 5.0.201 (x64)","","Registry"
"Microsoft Access MUI (English) 2016","C:\Program Files (x86)\Microsoft Office\","Registry"
"Microsoft Access Setup Metadata MUI (English) 2016","D:\New folder\","Registry"
"Microsoft ASP.NET Core 2.1.26 Shared Framework (x64)","","Registry"
"Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)","","Registry"
"Microsoft ASP.NET Core 3.1.13 Shared Framework (x64)","","Registry"
"Microsoft ASP.NET Core 3.1.13 Shared Framework (x86)","","Registry"
"Microsoft ASP.NET Core 5.0.0 Targeting Pack (x64)","","Registry"
"Microsoft ASP.NET Core 5.0.4 Shared Framework (x64)","","Registry"
"Microsoft ASP.NET Core 5.0.4 Shared Framework (x86)","","Registry"
"Microsoft ASP.NET Core 8.0.14 - Shared Framework (x86)",,"Registry"
"Microsoft ASP.NET Core 8.0.14 Shared Framework (x86)","","Registry"
"Microsoft DCF MUI (English) 2016","D:\New folder\","Registry"
"Microsoft Edge","C:\Program Files (x86)\Microsoft\Edge\Application","Registry"
